# Rescue Logfile. Created by GNU ddrescue version 1.19
# Command line: ddrescue -b 2048 -M -d -v /dev/sr0 image.iso image.log
# Start time:   2015-10-29 09:44:54
# Current time: 2015-10-29 11:28:20
# Trimming failed blocks... (forwards)
# current_pos  current_status
0x6A311800     *
#      pos        size  status
0x69139000  0x00000800  -
0x69139800  0x00000800  +
0x6913A000  0x00000800  -
0x6913A800  0x00000800  +
0x6913B000  0x00000800  -
0x6913B800  0x00000800  +
0x6913C000  0x00000800  -
0x6913C800  0x00000800  +
0x6913D000  0x00000800  -
0x6913D800  0x00000800  +
0x6913E000  0x00000800  -
0x6913E800  0x00000800  +
0x6913F000  0x00000800  -
0x6913F800  0x0002B000  +
0x6916A800  0x00000800  -
0x6916B000  0x00000800  +
0x6916B800  0x00000800  -
0x6916C000  0x00000800  +
0x6916C800  0x00000800  -
0x6916D000  0x00000800  +
0x6916D800  0x00000800  -
0x6916E000  0x00000800  +
0x6916E800  0x00000800  -
0x6916F000  0x00000800  +
0x6916F800  0x00000800  -
0x69170000  0x00008800  +
0x69178800  0x00000800  -
0x69179000  0x00000800  +
0x69179800  0x00000800  -
0x6917A000  0x00000800  +
0x6917A800  0x00000800  -
0x6917B000  0x00000800  +
0x6917B800  0x00000800  -
0x6917C000  0x00000800  +
0x6917C800  0x00000800  -
0x6917D000  0x00000800  +
0x6917D800  0x00000800  -
0x6917E000  0x00000800  +
0x6917E800  0x00000800  -
0x6917F000  0x00000800  +
0x6917F800  0x00000800  -
0x69180000  0x00010800  +
0x69190800  0x00000800  -
0x69191000  0x00000800  +
0x69191800  0x00000800  -
0x69192000  0x00000800  +
0x69192800  0x00000800  -
0x69193000  0x00000800  +
0x69193800  0x00000800  -
0x69194000  0x00000800  +
0x69194800  0x00000800  -
0x69195000  0x00000800  +
0x69195800  0x00000800  -
0x69196000  0x00000800  +
0x69196800  0x00000800  -
0x69197000  0x00000800  +
0x69197800  0x00000800  -
0x69198000  0x00040800  +
0x691D8800  0x00000800  -
0x691D9000  0x00000800  +
0x691D9800  0x00000800  -
0x691DA000  0x00000800  +
0x691DA800  0x00000800  -
0x691DB000  0x00000800  +
0x691DB800  0x00000800  -
0x691DC000  0x00000800  +
0x691DC800  0x00000800  -
