# Rescue Logfile. Created by GNU ddrescue version 1.19
# Command line: ddrescue -b 2048 -d -v /dev/sr0 image.iso image.log
# Start time:   2015-10-15 10:34:38
# Current time: 2015-10-15 11:43:51
# Scraping failed blocks... (forwards)
# current_pos  current_status
0xEAFDD000     /
#      pos        size  status
0x6801F000  0x00000800  -
0x6801F800  0x00000800  +
0x68020000  0x00008800  -
0x68028800  0x00000800  +
0x68029000  0x00000800  -
0x68029800  0x00000800  +
0x6802A000  0x00000800  -
0x6802A800  0x00000800  +
0x6802B000  0x00000800  -
0x6802B800  0x00000800  +
0x6802C000  0x00000800  -
0x6802C800  0x00000800  +
0x6802D000  0x00000800  -
0x6802D800  0x00000800  +
0x6802E000  0x00000800  -
0x6802E800  0x00000800  +
0x6802F000  0x00000800  -
0x6802F800  0x00000800  +
0x68030000  0x00000800  -
0x68030800  0x00000800  +
0x68031000  0x00000800  -
0x68031800  0x00000800  +
0x68032000  0x00000800  -
0x68032800  0x00000800  +
0x68033000  0x00000800  -
0x68033800  0x00000800  +
0x68034000  0x00000800  -
0x68034800  0x00000800  +
0x68035000  0x00000800  -
0x68035800  0x00000800  +
0x68036000  0x00000800  -
0x68036800  0x00000800  +
0x68037000  0x00000800  -
0x68037800  0x00000800  +
0x68038000  0x00008800  -
0x68040800  0x00000800  +
0x68041000  0x00000800  -
0x68041800  0x00000800  +
0x68042000  0x00000800  -
0x68042800  0x00000800  +
0x68043000  0x00000800  -
0x68043800  0x00000800  +
0x68044000  0x00000800  -
0x68044800  0x00000800  +
0x68045000  0x00000800  -
0x68045800  0x00000800  +
0x68046000  0x00000800  -
0x68046800  0x00000800  +
0x68047000  0x00000800  -
0x68047800  0x00000800  +
0x68048000  0x00000800  -
0x68048800  0x00000800  +
0x68049000  0x00000800  -
0x68049800  0x00000800  +
0x6804A000  0x00000800  -
0x6804A800  0x00000800  +
0x6804B000  0x00000800  -
0x6804B800  0x00000800  +
0x6804C000  0x00000800  -
0x6804C800  0x00000800  +
0x6804D000  0x00000800  -
0x6804D800  0x00000800  +
0x6804E000  0x00000800  -
0x6804E800  0x00000800  +
0x6804F000  0x00000800  -
0x6804F800  0x00000800  +
0x68050000  0x00008800  -
0x68058800  0x00000800  +
